year,Continent,cropland_ba_hectares,forest_ba_hectares,grass_and_shrubland_ba_hectares,wetlands_ba_hectares,settlement_ba_hectares,other_ba_hectares,total_ba_hectares
2016,Africa,31496371,150451559,83308600,6157716,29483,275912,271719641
2016,Asia,11012287,6432711,3965911,270694,61072,182137,21924812
2016,Europe,3510024,5825878,1876099,270879,20149,95441,11598470
2016,North America,1735403,2850963,1791709,111737,4229,25993,6520034
2016,Oceania,591894,3147184,19007011,186403,1563,9142,22943197
2016,South America,5714875,7254331,14172324,2695705,13713,13011,29863959
2017,Africa,25801222,138657447,77042281,5609658,21087,175488,247307183
2017,Asia,14097482,6825785,12691269,145432,92403,187647,34040018
2017,Europe,5363488,4805506,1579661,169773,29863,19555,11967846
2017,North America,1687317,5151102,2557276,252653,7104,24710,9680162
2017,Oceania,1549279,3542889,44225541,166136,1345,45054,49530244
2017,South America,6407830,9976961,17242942,2818252,15123,11992,36473100
2018,Africa,23464342,130055452,79972571,5388531,22895,269163,239172954
2018,Asia,10118300,6671993,3398516,145212,55939,131570,20521530
2018,Europe,3779825,7625187,1772370,354954,122113,32443,13686892
2018,North America,1373123,4092509,2151854,137997,6196,26018,7787697
2018,Oceania,670805,4817577,47148613,228327,1412,19403,52886137
2018,South America,4456523,4882291,10498052,1734220,10076,11344,21592506
2019,Africa,23026383,126786632,65544431,6067485,22618,285302,221732851
2019,Asia,15019153,6864191,7572783,450675,54186,1478668,31439656
2019,Europe,4966550,6661495,2382650,415745,36679,60822,14523941
2019,North America,1739348,3684963,1592657,114094,5409,16855,7153326
2019,Oceania,817673,8639235,26825766,269991,1994,21461,36576120
2019,South America,6278895,10398585,15491938,3326274,13539,8529,35517760
