GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,Change_2009_2019-1950_1970,LinReg_1950_2019_Intercept,LinReg_1950_2019_Slope,LinReg_1950_2019_R_Squared,LinReg_1970_2019_Intercept,LinReg_1970_2019_Slope,LinReg_1970_2019_R_Squared
USA,US.AL,United States,Alabama,AL|Ala.,USA,US.AL,United States,Alabama,AL|Ala.,0.7591491652728699,-4.841462874221339,0.011351512217886791,0.14549026739222992,-30.149508145029003,0.024018272449656018,0.32247930994913043
USA,US.AK,United States,Alaska,AK|Alaska,USA,US.AK,United States,Alaska,AK|Alaska,2.25750909601305,-87.31496015871838,0.04165440676104721,0.427466913169105,-119.15759412282755,0.05757746413938509,0.43108834573533683
USA,US.AZ,United States,Arizona,AZ|Ariz.,USA,US.AZ,United States,Arizona,AZ|Ariz.,1.2149642726078262,-30.915560920342486,0.023626858161159045,0.5148199094729042,-57.34638112958502,0.03684718851432023,0.6503860232586371
USA,US.AR,United States,Arkansas,AR|Ark.,USA,US.AR,United States,Arkansas,AR|Ark.,0.43130285067025653,2.750534983038161,0.006897762911767884,0.047015026945361416,-23.541287963656735,0.020052435412619033,0.19544200676879886
USA,US.CA,United States,California,CA|Calif.,USA,US.CA,United States,California,CA|Calif.,1.1473902066848858,-27.41650823235653,0.02049754791553861,0.4794477937773449,-40.25284186173278,0.026916769537541647,0.4443738820170453
USA,US.CO,United States,Colorado,CO|Colo.,USA,US.CO,United States,Colorado,CO|Colo.,1.4058690256050683,-46.79799094275448,0.027234511532707697,0.45686153577934463,-80.88067374906994,0.04428121485540933,0.5829994976547896
USA,US.CT,United States,Connecticut,CT|Conn.,USA,US.CT,United States,Connecticut,CT|Conn.,1.1449574738379287,-27.10606285232945,0.018656603924198354,0.29248140493998565,-50.30996210993144,0.030268616378426084,0.38309172209804776
USA,US.DE,United States,Delaware,DE|Del.,USA,US.DE,United States,Delaware,DE|Del.,1.4268660860958242,-34.32817786673747,0.023902970196317555,0.4164340185225265,-54.6351488053324,0.0340678987190159,0.46199665609556884
USA,US.FL,United States,Florida,FL|Fla.,USA,US.FL,United States,Florida,FL|Fla.,1.1386550878236648,-14.600454018814066,0.01831210746082084,0.3794868237783452,-31.620049772995536,0.02683137608414163,0.4093294990871067
USA,US.GA,United States,Georgia,GA|Ga.,USA,US.GA,United States,Georgia,GA|Ga.,0.8289468761802397,-7.009731186366011,0.012619990544472957,0.18834754618167793,-27.68939362190908,0.022972956161016505,0.31382247988535106
USA,US.HI,United States,Hawaii,HI|Hawaii,USA,US.HI,United States,Hawaii,HI|Hawaii,0.7010455062132266,-12.305826653465427,0.0174381315045333,0.48249830751851075,-9.880788226516863,0.016220484285235575,0.27011553078140205
USA,US.ID,United States,Idaho,ID|Idaho,USA,US.ID,United States,Idaho,ID|Idaho,1.0607291171055069,-36.75624522917996,0.021153699055606472,0.29821536009973926,-59.86168320449416,0.03270412636610273,0.3468963545300091
USA,US.IL,United States,Illinois,IL|Ill.,USA,US.IL,United States,Illinois,IL|Ill.,0.6505243682697923,-13.071559961718453,0.012347183961075174,0.10391130795294723,-31.536032701679613,0.021586167246314538,0.1509277739751571
USA,US.IN,United States,Indiana,IN|Ind.,USA,US.IN,United States,Indiana,IN|Ind.,0.7406403445377396,-15.842614617903571,0.01366609379641214,0.13473806278889855,-34.61332739448672,0.023060576323520755,0.18593236849426298
USA,US.IA,United States,Iowa,IA|Iowa,USA,US.IA,United States,Iowa,IA|Iowa,0.5686809844273757,-14.630391183474693,0.012018545249494264,0.08216664052486977,-21.753892183044236,0.015583182153094446,0.06473107584518922
USA,US.KS,United States,Kansas,KS|Kans.,USA,US.KS,United States,Kansas,KS|Kans.,0.6677513009317515,-12.405944015917255,0.012793221915761852,0.12274976075123212,-31.086412934714424,0.022137892274666955,0.1941158727048361
USA,US.KY,United States,Kentucky,Commonwealth of Kentucky|KY,USA,US.KY,United States,Kentucky,Commonwealth of Kentucky|KY,0.9025709094428187,-16.842325192049984,0.015331639300849022,0.1918891070764709,-40.159275100438286,0.027002766512707745,0.31422318824499473
USA,US.LA,United States,Louisiana,LA,USA,US.LA,United States,Louisiana,LA,0.866863477559253,-8.683529846898093,0.014249207558998616,0.22827235077724428,-32.61432622568046,0.026225277412647158,0.38247293127336457
USA,US.ME,United States,Maine,ME|Maine,USA,US.ME,United States,Maine,ME|Maine,1.1655817464197424,-31.504257845785865,0.018402563393535763,0.25530369148449683,-55.55203140533598,0.03043518587828883,0.3323589559257091
USA,US.MD,United States,Maryland,MD,USA,US.MD,United States,Maryland,MD,1.240044975926926,-28.044524529067164,0.0205715036387626,0.34621251002772946,-48.66770156087473,0.030894080201381943,0.41192143112999413
USA,US.MA,United States,Massachusetts,Commonwealth of Massachusetts|MA|Mass.,USA,US.MA,United States,Massachusetts,Commonwealth of Massachusetts|MA|Mass.,1.249191318782172,-30.59118196491046,0.019982896974639185,0.3145286523715515,-54.72175756022846,0.032058918858123786,0.40625805736487886
USA,US.MI,United States,Michigan,MI|Mich.,USA,US.MI,United States,Michigan,MI|Mich.,0.9510754147763292,-30.84463746608709,0.01897604082333045,0.20605921545769434,-49.55984165037037,0.02833829394815591,0.20746815624714376
USA,US.MN,United States,Minnesota,MN|Minn.,USA,US.MN,United States,Minnesota,MN|Minn.,0.9489469371118853,-34.033230408212106,0.01974056950422589,0.15445546631649798,-41.11147540537385,0.02328053713066932,0.10146654880479233
USA,US.MS,United States,Mississippi,MS|Miss.,USA,US.MS,United States,Mississippi,MS|Miss.,0.6944995843300994,-3.700109502149143,0.010915476836451707,0.13265327326149579,-29.216016396103242,0.023685854005785358,0.3136170041084547
USA,US.MO,United States,Missouri,MO,USA,US.MO,United States,Missouri,MO,0.6221313112879177,-9.596706705399619,0.01143416961745182,0.09575496113969861,-28.216178205717377,0.020749826571846344,0.1571015571714105
USA,US.MT,United States,Montana,MT|Mont.,USA,US.MT,United States,Montana,MT|Mont.,0.9156202425599602,-36.58173133634085,0.021280106279748214,0.21090341955700032,-42.12332632826255,0.02404927173462831,0.14606553460940241
USA,US.NE,United States,Nebraska,NE|Nebr.,USA,US.NE,United States,Nebraska,NE|Nebr.,0.7146320863771791,-21.24487266090093,0.015528510883732772,0.15619008848705185,-31.663359223584344,0.020740686605872943,0.13798030662141492
USA,US.NV,United States,Nevada,NV|Nev.,USA,US.NV,United States,Nevada,NV|Nev.,1.0354830505194208,-25.551075977648928,0.017623666298063986,0.3313587445376458,-51.02906294612143,0.030363686548750077,0.4541107971365502
USA,US.NH,United States,New Hampshire,NH|N.H.,USA,US.NH,United States,New Hampshire,NH|N.H.,1.4782612396157733,-41.085048571854365,0.02340156148283113,0.3635551506804028,-68.37124119760155,0.03705540065225408,0.4475621782641177
USA,US.NJ,United States,New Jersey,NJ|N.J.,USA,US.NJ,United States,New Jersey,NJ|N.J.,1.409197287435381,-35.360986819564836,0.023698394583241127,0.4090307466586781,-53.87108763694936,0.03296453852096728,0.42935521906984697
USA,US.NM,United States,New Mexico,NM|N.M.,USA,US.NM,United States,New Mexico,NM|N.M.,1.389181868442865,-37.47273201612964,0.025003688991517233,0.4829460766200846,-75.75069470113439,0.04415046732874765,0.7055772844896185
USA,US.NY,United States,New York,NY|N.Y.,USA,US.NY,United States,New York,NY|N.Y.,1.0328640370343427,-26.53988257162666,0.017139494275650258,0.22840898052784275,-49.03661243797724,0.028397934350032912,0.30146546281849174
USA,US.NC,United States,North Carolina,NC|N.C.,USA,US.NC,United States,North Carolina,NC|N.C.,0.9778299636300094,-16.750762895157663,0.01613358865367858,0.2616647059034529,-34.574051769793,0.025060364518538283,0.35327292020557977
USA,US.ND,United States,North Dakota,ND|N.D.,USA,US.ND,United States,North Dakota,ND|N.D.,0.8318912159533474,-34.21353711218434,0.019769359866232666,0.12989026470827436,-31.094482673096028,0.018209421377361635,0.057593468973696216
