GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,30_year_diff_1989_2019-1950_1980,10_year_diff_2009_2019-1970_1980,5_year_diff_2014_2019-1970_1975,LinReg_1950_2019_Intercept,LinReg_1950_2019_Slope,LinReg_1950_2019_R_Squared,LinReg_1970_2019_Intercept,LinReg_1970_2019_Slope,LinReg_1970_2019_R_Squared
GBR,,United Kingdom,England,,GBR,,United Kingdom,England,,0.8031794826725935,0.75486901390423,0.8987726144134385,-25.21015875888449,0.01756911100656191,0.35649381571855865,-36.369260883763744,0.023152426410375786,0.34543581481239993
GBR,,United Kingdom,Scotland,Alba,GBR,,United Kingdom,Scotland,Alba,0.7410695716397422,0.32429318357052583,0.027106980927559476,-21.578103079105663,0.01469272204071703,0.2958660288964936,-17.350359891922995,0.012583442793474082,0.13270205717540884
GBR,,United Kingdom,Northern Ireland,Ulster,GBR,,United Kingdom,Northern Ireland,Ulster,0.7820794506071174,0.5845646788632521,0.5947918302925537,-25.828480979165935,0.017450589299442293,0.4308336755309595,-29.43107379424184,0.019254837822267397,0.3211403185568418
GBR,,United Kingdom,Wales,Cymru,GBR,,United Kingdom,Wales,Cymru,0.8626256780624342,0.7317116267706254,0.8229836361038227,-28.87919938768518,0.019353802740870864,0.4218576359956928,-36.85545860296398,0.023345477362564745,0.3629812859979654
