GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FRA,France,FRA.1_1,Auvergne-Rhône-Alpes,,,Région,Region,,FR.AR,6.109193830592687,5.956750734390776,6.09016193677022,6.2440619191816,5.602419502504432,6.216183373235917,4.827715851158236,6.203843771001369,6.215563997658383,6.758951872138591,6.014382442351329,7.143601743636623,5.6238435806766915,5.320833480999056,6.430241869854697,5.80053715859692,6.471155605521275,6.536505881688953,6.3759170532226745,6.344354494156401,6.630241279191897,6.67833288049187,6.473601769888305,6.780917965468565,7.18446215557798,7.122635100990228,7.179193279307398,7.115215883972847,6.782849268759468,7.178686703917809,6.767447243967382,8.056748142037373,9.062207917244223,8.957715155488728,8.098279530514981,8.195836598386071,8.861746806483145,9.00911348404424,9.579570368284848,10.12080617925175,10.040483093261741,9.479956563313829,9.7349771150979,9.481828061995989,10.728359804871284,10.097583122663627,9.325403324250269,10.630833172541813,9.93814879386658,10.106451842605452,10.609758405787995,10.236344171339491,10.561021669449365,11.02299053233159,9.97680406467891,9.655325087680632,10.71567507507983,10.305648196640865,9.951616808163246,10.507124016874608,9.325083545971955,11.033631568826673,10.283790801673826,9.689489270282072,11.125672420378672,10.945621662755192,10.408629353841173,10.673710205734443,11.231102038968013,11.000974232663415
FRA,France,FRA.2_1,Bourgogne-Franche-Comté,,,Région,Region,,FR.BF,10.11956726074222,9.964469706217471,9.932267456054703,10.105670674641956,9.614266255696634,10.018966878255227,8.818466695149764,10.223400370279975,10.110767110188826,10.880966898600283,10.13980072021486,11.094166564941427,9.504200236002632,9.168733113606791,10.29423451741539,9.640099894205752,10.4751663208008,10.37510070800784,10.00253702799482,9.842833251953147,9.914833577473985,9.967833862304715,9.68843343098961,9.911702880859394,10.325133158365915,10.19506673177085,10.22826731363935,10.162132670084654,9.545633443196635,9.81860371907554,9.393433125813823,10.023100687662785,10.821036173502625,10.593567199707062,9.926467081705747,9.658669942220078,9.99923288981122,10.1993668619792,10.973966674804714,11.35706746419273,11.370401000976594,10.543910013834662,11.047302246093773,10.7113664754232,11.964733378092475,11.344969889322934,10.312933858235704,11.528866678873731,11.007569376627623,11.263066914876328,11.685432840983097,11.174733784993506,11.667233276367213,12.021072591145861,11.057703450520853,10.982636210123724,11.685370381673195,11.487336527506528,11.009936218261748,11.377133280436226,10.360770161946641,12.118669942220066,11.337800191243511,10.800933024088573,12.319700927734402,11.969036865234392,11.509467264811216,11.80319976806642,12.473933105468774,12.166773071289086
FRA,France,FRA.3_1,Bretagne,,,Région,Region,,FR.BT,10.913402599758598,10.837294726901604,10.836180623372423,11.094240442911802,10.619930733574781,11.006319088406054,10.052570173475493,11.272430674235048,10.920555369059267,11.815000576443174,11.117846849229622,11.612153625488299,10.240208986070447,9.83305575052899,10.844514677259681,10.434027608235704,11.174513753255235,10.930834070841493,10.806115298801018,10.812502373589433,10.816945012410505,11.032430691189257,10.526457722981789,10.912573115030952,10.957292175293,11.14874971177845,11.2839589012994,10.986874304877409,10.785070037841825,10.598475180731901,10.597083663940452,11.273194037543425,11.719169023301887,11.558611170450865,11.281250678168433,10.766181776258705,10.43507071601023,10.833681360880547,11.764583418104408,12.564859856499586,12.67131852044002,11.318342463175476,11.734309132893912,11.512293328179274,12.450695080227343,12.501739544338667,11.250069554646842,12.391320800781282,11.823475986056883,12.548402828640429,12.120070181952608,11.926944775051567,12.316111501057966,12.534588962131096,11.976531812879793,12.098614417182096,12.378684828016512,12.220697233412025,11.718683709038652,11.803263388739714,11.054933802286811,12.658476765950539,11.847915691799614,11.759097035725938,12.842221620347786,12.453752772013368,12.154513507419187,12.429096688164625,12.672778277927003,12.539658694797112
FRA,France,FRA.4_1,Centre-Val de Loire,,,Région,Region,,FR.CN,10.555702798408399,10.411494258412162,10.418464981882215,10.552152854517923,10.040000165972819,10.513508632726863,9.277148919356515,10.655745978104457,10.387587082176907,11.341973609255087,10.482763109709103,11.288596357379054,9.680264710543474,9.271710231847962,10.38714872661392,9.884079568427927,10.669648474977757,10.539429701420323,10.230441230640102,10.205086878726382,10.21114060251339,10.400306487501743,10.046009184184859,10.340705122027495,10.578771276641328,10.576226672791625,10.73399157607767,10.508508166932254,10.062763869971585,10.125660598487206,9.825745485540054,10.890350663034567,11.574565204821146,11.17868381968718,10.751052776135916,10.132238608912445,10.348639692340006,10.468727700752149,11.46798202782349,12.053596550121673,12.2052189877159,10.890360032466441,11.339433288574241,10.94916593317403,12.247412216454245,11.977108256022158,10.734825321666003,11.990877037717604,11.389783410858707,11.995745260673681,11.959955637078556,11.509956145704857,12.0372368528132,12.261366780598982,11.48535268683185,11.619301565069918,12.0483805873938,11.780967899791014,11.343117349189649,11.631183477033673,10.667414267021337,12.557811188279564,11.521798304507627,11.27368370190004,12.511097744054988,12.170879752175873,11.751534632632627,12.133641614412028,12.636798309861584,12.440664244534696
FRA,France,FRA.5_1,Corse,Corsica,,Région,Region,,FR.CE,12.987917200724306,13.0460455576579,13.175417200724306,12.785836156209333,12.233543650309267,13.110624567667665,11.79624964396161,12.711248652140322,13.02749913533531,12.84874814351402,12.764166132609072,13.321040089925154,12.573541895548525,12.562706247965517,13.148748016357445,12.581042226155622,12.944584147135439,13.199376042683943,12.925002034505232,12.551042175292991,12.964164352417015,12.810832595825218,12.583750661214216,12.682086563110374,12.377292887369814,12.635623550415062,12.354165013631208,12.80270919799807,12.18000183105471,12.635628636678083,12.011457697550478,12.548541641235374,13.486253356933616,13.289788818359398,12.40708185831708,12.98937886555992,13.185835138956728,13.298125839233421,13.490833536783876,13.58562304178876,13.82958564758303,12.99375940958661,13.494379933675154,13.181876118977888,14.043125406901064,13.27750167846682,12.952707544962587,13.859375254313173,13.26250292460126,13.63416697184247,13.930624262491884,13.911040242513044,13.694789505004906,14.157921727498396,13.51458638509117,13.088336563110374,14.114166514078798,13.958336766560896,13.766043599446638,14.134166336059593,13.268128331502302,13.913337326049827,13.811666107177757,13.53874804178876,14.409167226155622,14.380628840128603,14.469375228881859,14.34458185831708,14.813125228881859,14.577090835571312
FRA,France,FRA.6_1,Grand Est,,,Région,Region,,FR.AO,10.031605021158876,10.02472472014253,9.814474430790682,10.11398477436586,9.456173574188625,9.655030634373825,8.705740865071633,10.178024593400385,9.904969505027509,10.749660463686363,10.124474815086103,10.725709251121273,9.098024928716981,8.80811820324559,9.930802069769996,9.301202580958256,10.232840097686415,10.192870924207929,9.803120573067394,9.676605149257346,9.713704069161139,9.960956451039285,9.530339200997082,9.854108570240186,10.205000342851832,10.217900424533445,10.170432780701452,10.18234546802664,9.472345441653422,9.639169028953285,9.387314332561743,9.86586339503161,10.45892298192156,10.373611374843287,9.722685938705661,9.30691662070195,9.437469407069846,9.527839302722336,10.614754212932846,10.998209371684533,11.084444418071252,10.069145598234973,10.72438588083528,10.410894718876614,11.561697802131576,11.147317599072892,9.815864016685984,11.048302657515942,10.744819942521483,11.097809327678936,11.32327149944542,10.843086073133705,11.302962239583351,11.407815363377717,10.659756808810789,10.75420155466342,11.2306830512153,11.199817629213706,10.665066302264199,10.848025117097094,9.82960229567542,11.61148515866129,10.792654456621358,10.336758667745732,11.663827232078285,11.317071439013082,10.823518559962167,11.027684642650485,11.596481436270276,11.602938164605055
FRA,France,FRA.7_1,Hauts-de-France,,,Région,Region,,FR.NC,10.326077659457354,10.241964482326154,10.046862314261668,10.434071739047212,9.829363086176883,10.015440727682696,9.235098027248034,10.581666864133373,10.159263939951009,11.050391881606183,10.385294626273378,10.89240208046111,9.31931412640742,8.97137184891048,10.073430409150992,9.562891672171821,10.360293399586414,10.289166648715181,9.912601126876552,9.894215931611924,9.94093295826634,10.118970713895928,9.709951542873023,10.034170143277072,10.225440709731183,10.35945970123891,10.316667175292991,10.19073534198838,9.646862284342475,9.530787778368207,9.542941104664544,10.059363301595079,10.570101150811908,10.566617808622501,10.202842891917541,9.44916971244067,9.512499222100965,9.63794142779185,10.678186783136132,11.354118377087184,11.432108291925198,10.114175714231024,10.676032750746804,10.322009696212495,11.306960640701618,11.316424530627708,9.794999096440359,11.113725430357709,10.885494037702998,11.396764149385357,11.245097620346996,10.98053894042971,11.43691226734837,11.362456856521936,10.988337378408417,11.094023042566661,11.412845267501552,11.38897453756895,10.900150553385444,10.933432515462266,9.881570883358256,11.729464990952456,10.765441475662561,10.389902780570258,11.922303622376708,11.501327993355574,11.169264580221755,11.590392049153664,11.880000125660638,11.674663199630453
FRA,France,FRA.8_1,Île-de-France,,,Région,Region,,FR.IF,10.826500447591163,10.677670796712269,10.556667582194038,10.823171488444032,10.273999532063817,10.54383188883466,9.585000101725294,10.949168395996125,10.611834716796897,11.487167867024757,10.784168497721373,11.457499694824241,9.80066630045574,9.406998697916686,10.532834370931019,10.028499857584654,10.865999348958349,10.795834859212254,10.393002827962254,10.41300048828127,10.449665323893257,10.56799977620445,10.188833109537782,10.53250376383466,10.79633331298831,10.82083282470706,10.913333129882824,10.751333109537782,10.143000793457054,10.170837402343773,10.03800048828127,10.775835164388042,11.29133809407555,11.136833190917992,10.751665751139347,10.097505187988295,10.165669250488298,10.248501586914093,11.350833129882838,11.971164957682314,12.161667887369816,10.791343180338558,11.340168253580751,10.978000386556019,12.114833068847679,11.965001932779964,10.563498942057313,11.845834350585951,11.410003153483094,12.00433349609377,11.907165527343773,11.565166727701842,12.063335164388036,12.131172180175804,11.501336669921892,11.64233652750653,12.018337504069029,11.885836791992213,11.40150146484377,11.532334391276066,10.598671468098985,12.439504496256532,11.455832926432313,11.140166219075544,12.492167154947936,12.223837280273463,11.745497639973982,12.201500447591172,12.608500671386745,12.397506205240916
FRA,France,FRA.9_1,Normandie,,,Région,Region,,FR.ND,10.269226510184177,10.196192677815779,10.08589252290274,10.4301807585217,9.863986860002806,10.1241666521345,9.25458297729495,10.559999992733935,10.18476166498096,11.051964242117771,10.358988153366838,10.909226444789363,9.356369272867857,8.995239330473424,10.08130961826871,9.607322765532018,10.352976190476213,10.221310642787401,9.891312808082247,9.901369258335677,9.93095205397835,10.094464147658599,9.690952373686306,10.022146206810381,10.182261040097217,10.312023598807224,10.334642755417619,10.151250094459186,9.70845256987075,9.588395690917986,9.6002988179525,10.397441391717848,10.892144957042897,10.74440463838125,10.435000537690684,9.70863422212149,9.729522959391298,9.884108116513227,10.913808986118875,11.564702969505689,11.678750065394832,10.346796562558154,10.831668744768445,10.418690345400876,11.552202933175252,11.478336951846197,10.129940832228911,11.329405721028678,10.984765080043266,11.612678237188453,11.437263561430461,11.190118408203153,11.63440457298644,11.640124620710125,11.101074291410916,11.249706159319222,11.566015407017318,11.412383742559555,10.99738428025021,11.041667102632095,10.154824284144832,11.9430976867676,10.937738037109398,10.67672609601704,12.087202780587356,11.743515450613861,11.339941551571817,11.813928767613021,12.064403424944226,11.922208586193292
FRA,France,FRA.10_1,Nouvelle-Aquitaine,,,Région,Region,,FR.AC,9.94263122290898,9.79555068434333,10.106623050622796,10.049630402682146,9.510854874995738,10.2036619889109,8.911140026962565,9.991820874130534,10.05855224341679,10.67975896199547,9.960614107366212,10.850153658682856,9.452850930732623,9.082478426213873,10.05105254859258,9.58875012314113,10.206205388119363,10.140350663034559,10.08109978123717,9.839385972943248,10.09228112739431,10.399320087098255,9.819605429130712,10.189893742611554,10.27708346718238,10.411359539366629,10.559759160092028,10.363179779052766,10.214473376357779,10.396582472951811,10.026754533198863,11.89745597170113,12.542590947736807,12.314189161334141,11.68296076456708,11.54015710395682,11.79035044887612,11.887148860462943,12.447237034847888,13.08600936354255,13.078662189684442,12.03428588331794,12.172437821773082,11.976008820115501,13.148684237296138,12.981603508664875,12.092303078634723,13.35594309756633,12.454345622815609,12.824495134855601,12.961425232469011,12.60116207725126,13.05853062679895,13.510137711909797,12.531999741939098,12.409915107593227,13.256450371993234,12.603446344743725,12.4325039378384,12.895439268413375,11.858489709151442,13.675815167343425,12.676841722454967,12.412609890051078,13.667017538505723,13.35355563247416,13.151381495960996,13.233991442228637,13.69254368564541,13.573690902977674
