GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,NO2_mean,O3_max,PM25_RH35_GCC_mean
BHS,Bahamas,BHS.2_1,Berry Islands,,,District,District,,BS.BR,0.08940525352954865,28.958311080932617,2.214761257171631
BHS,Bahamas,BHS.3_1,Biminis,Bimini,,District,District,,BS.BI,0.05595747062138149,29.860530853271484,2.823420933314732
BHS,Bahamas,BHS.4_1,Black Point,,,District,District,,BS.BP,0.06816624104976654,25.902408599853516,2.8629543781280518
BHS,Bahamas,BHS.5_1,Cat Island,Ilha do Gato|Isla del Gato,,District,District,,BS.CI,0.10834091901779175,26.51358985900879,2.591236114501953
BHS,Bahamas,BHS.6_1,Central Abaco,,,District,District,,BS.CB,0.12419892208916801,29.802322387695312,1.9525830405099052
BHS,Bahamas,BHS.7_1,Central Andros,,,District,District,,BS.CN,0.04357820749282837,27.503129959106445,2.3747952779134116
BHS,Bahamas,BHS.8_1,Central Eleuthera,,,District,District,,BS.CE,0.11395923793315887,27.12476921081543,2.1889023780822754
BHS,Bahamas,BHS.9_1,City of Freeport,,,District,District,,BS.FP,0.37061139941215515,29.598594665527344,2.0476467609405518
BHS,Bahamas,BHS.10_1,Crooked Island,,,District,District,,BS.CK,0.07792397907802037,27.1829776763916,4.695165361676898
BHS,Bahamas,BHS.11_1,East Grand Bahama,,,District,District,,BS.EB,0.10641820563210382,29.74411392211914,1.924681133694119
BHS,Bahamas,BHS.12_1,Exuma,,,District,District,,BS.EM,0.10081024964650472,27.06656265258789,2.7510363260904946
BHS,Bahamas,BHS.13_1,Grand Cay,,,District,District,,BS.GC,0.08138500154018402,29.976945877075195,1.9482001066207886
BHS,Bahamas,BHS.14_1,Harbour Island,,,District,District,,BS.HB,0.11740715056657791,27.99788475036621,2.1613352298736572
BHS,Bahamas,BHS.15_1,Hope Town,,,District,District,,BS.HT,0.12316922707991167,30.093381881713867,1.9473048123446377
BHS,Bahamas,BHS.16_1,Inagua,Inague,,District,District,,BS.IN,0.060401491820812225,28.667272567749023,7.739786148071289
BHS,Bahamas,BHS.17_1,Long Island,Ilha Longa|Isla Larga,,District,District,,BS.LI,0.10158602148294449,26.95014762878418,3.87660551071167
BHS,Bahamas,BHS.18_1,Mangrove Cay,,,District,District,,BS.MC,0.039457771182060244,26.688213348388672,2.561383819580078
BHS,Bahamas,BHS.19_1,Mayaguana,,,District,District,,BS.MG,0.08180861813681466,28.69637680053711,5.943445478166852
BHS,Bahamas,BHS.20_1,Moore's Island,,,District,District,,BS.MI,0.09738879650831223,29.715011596679688,1.9986557960510254
BHS,Bahamas,BHS.21_1,New Providence,Nova Providência|Nueva Providencia,,District,District,,BS.NW,0.5237185955047607,28.20161247253418,2.288288116455078
BHS,Bahamas,BHS.22_1,North Abaco,,,District,District,,BS.NB,0.11205642563956124,29.74411392211914,1.9180311475481306
