GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,NO2_mean,O3_max,PM25_RH35_GCC_mean
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,0.47254888861029,76.96322631835938,9.46029855539133
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,0.6509481811523438,69.7330551147461,4.286956787109375
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,0.7829924190745634,65.19278717041016,7.02288818359375
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,0.9853741115993924,60.30380630493164,5.107529025607639
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,0.5017990484470274,70.67679595947266,6.752854510051448
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,0.7409673055013021,70.19864654541016,9.452056884765625
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,0.31536596389043897,65.55452728271484,39.35608258928571
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,0.6494255065917969,65.07683563232422,4.464624368919517
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,0.7782876612776417,70.67679595947266,18.333760924258474
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,0.4528907867799322,70.78072357177734,4.600088096526732
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,0.39789469896164614,66.70618438720703,64.16330631222345
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,0.43243621190389,69.7330551147461,11.452201334635417
