CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,State,USA,USA.39_1,US.PA,United States,Pennsylvania,,State,Commonwealth of Pennsylvania|PA,1062.2550551964416,-38.37122602436193,0.5674863154264236,0.024075751047658578,6.357312323946155
,State,USA,USA.40_1,US.RI,United States,Rhode Island,,State,State of Rhode Island and Providence Plantations|RI|R.I.,1151.5514541540365,-950.0601716875653,1.0774352273701102,0.05202704231778521,11.134091455013053
,State,USA,USA.41_1,US.SC,United States,South Carolina,,State,SC|S.C.,1214.950064014908,750.3489193615419,0.23505186160326222,0.002367113216131922,2.302248656899942
,State,USA,USA.42_1,US.SD,United States,South Dakota,,State,SD|S.D.,484.235998356263,-166.37878139882258,0.3339652126669924,0.017910428183174787,8.207126368604497
,State,USA,USA.43_1,US.TN,United States,Tennessee,,State,TN|Tenn.,1309.989206105446,-804.9606421912938,1.084652695410531,0.04618444705610625,9.853033151134497
,State,USA,USA.44_1,US.TX,United States,Texas,,State,TX|Tex.,689.7527624064996,-192.6993805364308,0.45162653607183606,0.01395543541239841,7.791713309714185
,State,USA,USA.45_1,US.UT,United States,Utah,,State,UT,285.1004895666911,257.9176589446812,0.01337414162766134,7.466321056903702e-05,0.5582322415898231
,State,USA,USA.46_1,US.VT,United States,Vermont,,State,VT,1025.8064818002808,-1643.917215599728,1.369828878879323,0.14733122014112454,15.890876054961073
,State,USA,USA.47_1,US.VA,United States,Virginia,,State,VA,1087.0842765839875,-18.600618828288816,0.5684816887229542,0.018291840268007897,6.223006110493127
,State,USA,USA.48_1,US.WA,United States,Washington,,State,WA|Wash.,932.8010519782998,86.84830694265304,0.4313470698165202,0.012841866850009875,5.502813402633258
,State,USA,USA.49_1,US.WV,United States,West Virginia,,State,WV|W.Va.,1121.3993776226678,-220.0136162098197,0.6926958931132322,0.030458094732636387,7.350709562120983
,State,USA,USA.50_1,US.WI,United States,Wisconsin,,State,WI|Wis.,792.6514108618716,-591.6413016785228,0.7107919932022685,0.060561204876511066,10.671052373337629
,State,USA,USA.51_1,US.WY,United States,Wyoming,,State,WY|Wyo.,329.4525397641192,376.1776749711531,-0.024828442208291224,0.000295574139610677,-0.8968164655528452
,Federal District,USA,USA.9_1,US.DC,United States,District of Columbia,,Federal District,DC|D.C.,1069.7394918038503,41.35534703437088,0.528615674744143,0.011398353681246864,5.880428438561138
