CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,Kingdom,GBR,GBR.1_1,,United Kingdom,England,,Home Nation|Constituent Country,,806.9506678035657,288.7433594281026,0.2661789163227321,0.009441806527501262,3.9253069990786313
,Kingdom,GBR,GBR.3_1,,United Kingdom,Scotland,,Home Nation|Constituent Country,Alba,1286.6413844481308,65.65889503279959,0.6260713050348189,0.028218423243821733,5.790462377447872
,Province,GBR,GBR.2_1,,United Kingdom,Northern Ireland,,Home Nation|Constituent Country,Ulster,1096.7469492184437,1838.7332790951486,-0.3786630541768033,0.014328210815606313,-4.108596197067207
,Principality,GBR,GBR.4_1,,United Kingdom,Wales,,Home Nation|Constituent Country,Cymru,1291.8549256953747,365.1620321049729,0.4747965928623939,0.014382950628628155,4.37361761191659
