GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DEU,DE.SL,Germany,Saarland,,DEU,DE.SL,Germany,Saarland,,9.322632196214494,9.406340611170236,9.082215094187902,9.487538243853882,8.591869442046681,8.63082671998041,7.754723954579215,9.369927978515685,9.0444772629511,10.00751694876053,9.335190194750618,9.826631891159801,8.121373158409511,7.9204062628367735,9.125008519490592,8.330029726785355,9.379332721044165,9.441221370394297,8.988957447475892,8.868670278882263,8.892845756288589,9.265415037245996,8.755425071716346,9.128592488122385,9.577504927014582,9.596553587535098,9.54111854311023,9.558287466140067,8.670729709806954,8.890505484929179,8.658179143875406,9.0043605743893,9.711255570063543,9.706438424852168,8.839268787323485,8.362925935170031,8.760857836405469,8.586880135914654,9.876801775372234,10.24060076456224,10.273824068099765,9.377914107792003,10.126421153356196,9.657911433870845,10.874459717765683,10.294911790272584,8.893106336442301,10.273152878170947,10.115525560530438,10.45692905244375,10.834469111003619,10.265738211737778,10.679057103111665,10.764401871817475,9.935921696254212,10.160105066450859,10.635287614852677,10.694224415128218,10.125556170751224,10.256764015318884,9.100309580848355,10.951096561976868,10.153230013166194,9.556738290332651,10.830009517972451,10.395554145934128,9.901374208359528,10.213363008650541,11.121392398410416,11.068642779759031
DEU,DE.SH,Germany,Schleswig-Holstein,,DEU,DE.SH,Germany,Schleswig-Holstein,,8.653267691502762,8.906745297211907,8.057705799585468,9.268964915270535,7.947843520882515,7.995735432690689,7.265117589125812,8.872870262628084,8.335442538682392,9.292397338344372,8.575906624166066,9.192068727472085,7.609365220089667,7.485861950437183,8.332113029826692,7.76570289685353,8.550249213116212,9.21717992779393,8.609562716018052,7.986768673107183,7.914682687260826,8.806236711058395,8.302265212636987,8.683747189180332,9.08127118910572,9.353653995630134,8.552327837396314,8.981042552829601,8.293786719131035,7.9253832077860595,8.043599301192833,8.371708584896874,9.15322236447273,9.511673939299243,8.596821986620563,7.691751382240511,8.15057288011289,7.709695327196338,9.498455443140875,10.067116408561887,10.185935894057456,8.905724069432884,9.929704534429519,8.61865192755885,9.690025306714626,9.325730508515827,7.648440972617578,9.379879109728629,9.340524872045668,9.955841615795734,10.175390281636462,9.305755576019573,9.920725444334542,9.626064544346358,9.590632109564064,9.697800280644174,10.276979803721758,10.474480291993691,10.145822679258018,9.738884574863386,8.073126389700638,9.906149266082437,9.303222998680019,9.15345144238305,10.88292161236312,10.094629642696153,9.967222310206779,9.914023745430242,10.544294440923261,10.653598359288807
DEU,DE.BW,Germany,Baden-W�rttemberg,,DEU,DE.BW,Germany,Baden-W�rttemberg,,9.034561520335293,9.144326176283982,8.73483836667092,9.177704395288828,8.323424930773868,8.43468874875586,7.529464991698295,9.109732992619342,8.948760134696078,9.647078168966013,9.048862308388303,9.734986985380345,8.057840888726389,7.911827353994302,9.013794011446512,8.166924465729759,9.202313428539489,9.279377179131913,8.752204041103065,8.487526815331544,8.525893602957353,8.93792331334908,8.505300051574054,8.696119943283724,9.23438583889166,9.198390989991102,8.955925072773482,9.318077907395269,8.402903916148881,8.825483369859432,8.256079139598185,8.985103181304623,9.672340017165027,9.812334331401422,8.732749255237726,8.55682640826691,8.94352809706981,8.782738755239956,9.820516042354589,10.09312245691423,10.07301452600172,9.21276410909033,10.07002996614185,9.860681738297766,11.156549522867683,10.080193319091558,8.997528361610335,10.300202655199778,10.213733879436054,10.247028820449941,10.92933547748622,10.232785196030937,10.770761378531253,10.573031219407085,9.716499387322935,9.55022209904783,10.262677722345279,10.42768503596433,10.040668111932979,10.03229513041986,8.891503412815155,10.769481227922498,10.054811035083185,9.493913093713696,9.958024422409826,8.916435572254974,9.307560321297624,9.206190645834885,10.204303076860034,10.660574346302951
DEU,DE.BE,Germany,Berlin,,DEU,DE.BE,Germany,Berlin,,9.54081870113769,9.895094936167842,8.786786128025412,10.270471918015255,8.612192157136272,8.616734531947552,7.797700308150624,9.660543605259491,9.192732512316448,10.07757599133402,9.376380437428859,9.94336944922012,8.322639751701464,8.29407779896627,9.073653563598294,8.464875259185689,9.48754776813069,10.158684512012803,9.383951575014777,8.512491678189841,8.509431051473337,9.605064165558773,8.957914003003532,9.34750856458306,9.949509209811836,10.160973223517919,9.304728412361035,9.682851655676913,8.97111952324876,8.734458504471135,8.459934809495072,9.308886090446933,10.18067578227579,10.329760562672329,9.072689139742806,8.609348316352907,8.919963898645406,8.226350744765659,10.163069447749786,10.839242874273745,10.800273893126578,9.54128520548844,10.590985133066889,9.505852181570878,10.612387956891743,9.908856654233972,8.133719936338773,9.906794024983043,10.087087816083448,10.63682082574241,11.031379216725734,9.921680726123483,10.512902212276515,10.281566831444493,10.055884767847573,10.148820324638649,10.776284426734572,11.107921683688124,10.896541935255533,10.343074518625803,8.942035758395178,10.830421755494195,10.258033055751591,9.975821068173365,11.529910782672426,11.213666480996674,10.877043788706871,10.723768226773123,11.731441965824411,11.969236580130078
DEU,DE.BR,Germany,Brandenburg,,DEU,DE.BR,Germany,Brandenburg,,9.375314668565144,9.744006153316581,8.647560659773191,10.111043281893307,8.47390880198717,8.499106977775076,7.661223773538414,9.542556340073588,9.06804807783866,9.94932804378825,9.25272904590812,9.850488995827845,8.228832614667084,8.13828392469039,8.94833679798955,8.326399183871459,9.37675607607583,10.015141152067523,9.253066739447462,8.394640820687135,8.370537502571452,9.450224368766433,8.843023129884443,9.225578753823418,9.814212950664844,10.037129971175148,9.167198803600698,9.577670992710765,8.850013434063513,8.640314612011371,8.359736432580974,9.204329171238944,10.06026402250302,10.212459475907641,8.974715742209142,8.479004662043698,8.81442266969223,8.143488575395759,10.053170602826853,10.736755482491333,10.677397549545157,9.4044699040279,10.455779861243466,9.375032680834972,10.481222631923737,9.77624027821947,8.005765465179545,9.748309491673206,9.923398204088272,10.45530261958317,10.87671281731952,9.769463472036165,10.385384373873014,10.128542271863049,9.900094590455845,9.988763262488229,10.618590429152585,10.94848343638157,10.730493973066695,10.18748850142166,8.787424844275094,10.678927975590957,10.107393163389796,9.819883074826626,11.460489847349413,11.13319030725988,10.76145302823086,10.632620307653122,11.604739125569708,11.831078950990749
DEU,DE.HE,Germany,Hessen,Hesse,DEU,DE.HE,Germany,Hessen,Hesse,9.316188977725986,9.55443603149151,8.975668987957159,9.761635316037129,8.650118494936137,8.53083421632193,7.794413145788108,9.478907574316295,9.143567698190447,10.066972164133702,9.367342851093724,9.812497665834698,8.106568275684884,7.955063212143472,9.067807018311479,8.291675232429649,9.333897552971488,9.544952058306237,8.944465588898638,8.61370180491854,8.567834454147274,9.1069833854516,8.53900743194832,8.909007457712804,9.355959608437985,9.430675672061929,9.098631803576444,9.300718306384601,8.428004405777315,8.520441703851915,8.274323005620753,8.453990423395942,9.323758480029449,9.328474094588898,8.311954254713063,7.732327115402711,8.358301294873684,7.859409035946925,9.376744293738549,9.855622420479884,9.717172690053298,8.677651396357652,9.594458438701158,8.909159027610423,10.078426173958377,9.347678408745358,7.834539298511477,9.441000288103135,9.525000653921674,9.899606537020702,10.222763605501868,9.553341223556169,10.062282858214155,9.851911578856297,9.175750213985788,9.393382212469035,9.844948674497635,10.002635294855494,9.625360652510835,9.439920376181206,8.165850393451683,10.107449320830648,9.33675582363792,8.826017101015774,10.131016503879607,9.419377228220029,9.592465206629322,9.46235298108616,10.46964468514094,10.214266460812974
DEU,DE.NI,Germany,Niedersachsen,Lower Saxony,DEU,DE.NI,Germany,Niedersachsen,Lower Saxony,8.798214922150445,8.945851476834543,8.200897168788089,9.357723249170249,8.110506390490613,8.088882907537192,7.397152323918988,9.022167347787692,8.571738798358723,9.501659000804352,8.76420371120058,9.345675602341657,7.693398332448088,7.6551976891534395,8.591574421626655,7.960337663963155,8.855888531143577,9.301992310037065,8.725805529416903,8.284594256642967,8.284036383379577,9.024636670542506,8.443542052488027,8.865246359960613,9.203951869806238,9.501533289225748,8.890201375149028,9.340510936610201,8.694188025628938,8.459318447251059,8.51543445401912,8.787265207708932,9.757307528050271,9.868978138604646,8.942659116801432,8.193598197279618,8.62895616514434,8.250467841678002,9.90748246774919,10.444275470803888,10.447948470079297,9.171032939752493,10.16582109286145,9.02164417849425,10.075082699783053,9.719609472894097,8.000223414103251,9.709566222441444,9.732407096378855,10.219452648158978,10.366351365580025,9.660524323824788,10.221666270707615,10.053634702363695,9.837131878324149,10.03439131025497,10.533309037913591,10.703998336744732,10.270421213275057,10.043734199159815,8.542851320626673,10.491944148171564,9.847189451431774,9.461031610922936,11.278818747041015,10.644963395603028,10.331605008309273,10.377177520171808,11.176614441766281,11.053883080227303
DEU,DE.ST,Germany,Sachsen-Anhalt,Saxony-Anhalt,DEU,DE.ST,Germany,Sachsen-Anhalt,Saxony-Anhalt,8.957178651494104,9.278985440227837,8.326719940940686,9.709589388392502,8.184264705274819,8.006213544746553,7.316180414554296,9.162250354809425,8.740831704396527,9.65337386152109,8.885117288632978,9.575284701351544,7.720291325376181,7.748393215455219,8.612508914286735,7.953080145194083,8.998789666336407,9.575209425399153,8.78244690781714,8.186118308506446,8.147050847178937,9.027775234461183,8.378568319647357,8.808890100522623,9.302721440751617,9.544678406990721,8.819290185934824,9.352156333978835,8.561204327060906,8.459811209059046,8.227746397867056,8.863900075706113,9.949231129534795,9.921616479576628,8.775310270928571,8.226742088580693,8.683652705489175,8.017736520818133,9.878765336452693,10.534037051693659,10.426896706349288,9.059803042164267,10.082638507604253,8.991447626231414,10.15182857689265,9.437059771534521,7.666799858829947,9.393799804287704,9.484495075786674,9.948053042371521,10.354926030928516,9.365423169938884,10.007938433873457,9.874521203483008,9.46953552020283,9.607337576668561,10.205794474431892,10.453771737222212,10.156000188969111,9.776425725612052,8.417275702056813,10.439238066397948,9.791675106568709,9.351764051316161,11.308618630488368,10.911131507433026,10.431781542804387,10.397157961323904,11.3147524101187,11.260493987674343
DEU,DE.RP,Germany,Rheinland-Pfalz,Rhineland-Palatinate,DEU,DE.RP,Germany,Rheinland-Pfalz,Rhineland-Palatinate,9.288270471073654,9.430642608469222,9.025397582878844,9.538763700493547,8.5484787823928,8.529843262017158,7.701463697879267,9.332848699758463,8.997762698247755,9.980390285673897,9.259580335038757,9.731750876151665,8.048148866770129,7.863275674665488,9.038091971061874,8.23804511656013,9.297858302655305,9.392540322554638,8.949501545417585,8.777246782199802,8.7962514951154,9.193648819048372,8.67436271059672,9.042734075106006,9.462908117269393,9.515187133635854,9.395677529787477,9.44848958268823,8.57482466020457,8.734156629169513,8.535164066677078,8.775704875416347,9.546582319935263,9.561124326927967,8.689181412918467,8.157912846949666,8.59396798537926,8.341113246172332,9.656388916467188,10.119388636063524,10.047765171425496,9.103884989702834,9.874718326060114,9.36232079883788,10.523166135671294,9.987661150069139,8.538861948225758,9.99348763974785,9.900537310970847,10.269974450186856,10.55803575569926,10.007943800176415,10.438788168986951,10.447222840113502,9.682502262550452,9.914577693084974,10.370746951532235,10.470378700646469,9.936474382982865,9.97567082729031,8.752231169811632,10.637748074969394,9.815086545980757,9.263781866496211,10.358158674327067,9.7467876678761,9.534247948657523,9.865047533758784,10.637455405186017,10.626658251572536
DEU,DE.NW,Germany,Nordrhein-Westfalen,North Rhine-Westphalia,DEU,DE.NW,Germany,Nordrhein-Westfalen,North Rhine-Westphalia,9.456447646638248,9.61806507278144,9.069113401453103,9.868477763167158,8.854435665465218,8.844842637769085,8.10403623309765,9.687252511959798,9.287757441237005,10.240806259171302,9.520812824039846,9.97860592366058,8.373848735382959,8.252245557182283,9.291146740978116,8.601737237668885,9.544432664524592,9.73426783398302,9.278599069245322,9.01765147702273,9.022206893995948,9.521599103738325,8.973799999714837,9.35595871557778,9.651369549920489,9.852679592267265,9.536107680363605,9.67695280208259,8.975674151905844,8.872601736573463,8.872477550770787,9.062696551921794,9.936593216190081,9.926982242890455,9.110758800202902,8.332280454057894,8.83471657073062,8.552208011974324,10.00484412986834,10.565813170378226,10.41918922641272,9.320511221364034,10.172237677245562,9.38927569994894,10.421940478423958,10.110024148686426,8.406189052757403,10.028719599367435,10.04225103762503,10.508774097210468,10.599364444857159,10.0794325954205,10.55621258086966,10.418830753341874,9.883088860704277,10.21978602611693,10.66216260459404,10.762346389404868,10.211907431957693,10.1663807607575,8.794134357129389,10.77786631627483,9.95213254707395,9.471276784479253,11.221360719745357,10.577687201898291,10.430812791850295,10.567640743167681,11.2530613810495,11.00584410928245
