GID_0,NAME_0,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,United States,6.5845268557470815,6.332014104949199,6.859920389040044,7.415727065959768,7.1887619624172405,6.311778075476746,6.368703902617358,7.1855862858919055,6.983197506401015,6.646237768032298,6.696331149620195,6.423699209575841,6.86865893108735,7.008104824373009,6.300766475892982,6.490300274065721,6.287342648444453,6.865838363959392,6.46140120915674,6.752570485931347,6.559869958953723,6.144892003359927,6.175208393372791,6.759698359818227,6.611350441256391,6.217897557454985,6.596974365152393,7.218015950235796,6.832022184874264,6.556194465632713,7.070217287050289,7.785114532165627,6.447767348154026,6.911598078688391,6.71315776428118,6.527364235547472,7.502906011788744,7.673275165773092,7.291178712453748,6.877627963040302,7.455534905844406,7.484223723742762,6.999569639252044,7.0567310515958495,7.253340988321624,7.366916625829927,6.697701018860827,7.26436836655452,8.176954045594146,7.34981193330782,7.644217192910887,7.723657876613158,7.88616552100627,7.845522202061368,7.779951862295468,7.963559931862863,7.913163332656226,7.85066478777361,6.886504436438277,7.135133105823549,7.560703764774555,7.527479953974327,8.04709842288283,7.320992893759073,7.751409214517896,8.491820681475948,8.984885407836138,8.411355407474003,8.201342749014435,8.044465708477997,8.064491397385735
GBR,United Kingdom,8.509817030363537,8.311664947911924,8.218632193212127,9.01828273253771,8.26609821637939,8.420968795932772,8.022020246692865,9.066788847491845,8.487929436389058,9.495399838359624,8.786208574733502,8.966920190143744,7.793344293150358,7.587859974270533,8.565797109310683,8.012191332793359,8.512116135336141,8.745662879329497,8.448104926314594,8.341248830233997,8.571675399847317,8.967148197112655,8.388188960018153,8.69355713694897,8.688160308346411,8.998054910550902,8.908701088767122,8.583730021933357,8.433256276523059,7.967524752749554,8.39456875579077,8.446211828452448,9.00078392464457,9.121564395396303,8.9600228475233,8.095772752440713,7.954256802694364,8.336483417025093,9.073859961580938,9.603184544575882,9.713013151959151,8.802034468867268,9.015155267896994,8.597899271796097,9.1382160594488,9.495638503693232,8.465490925511034,9.664369824969423,9.426002714679344,9.647214245551869,9.327095963351043,9.112054198503865,9.695333014246678,9.698937615636172,9.601432389668474,9.574931142871256,9.838167051703502,9.733109688486593,9.230154751376936,9.35370512798976,8.215337704034384,9.861670940617014,8.986730915030504,8.934139063822597,9.726874197517292,9.070108644365414,9.130132416799183,9.349576082690415,9.288117170878444,9.132689326943996,9.422451293409155
FRA,France,9.594318386875136,9.511106549464031,9.592754718442762,9.72283255887818,9.15154650125016,9.665118373851088,8.497090354573562,9.748085482939391,9.641242940570177,10.32366739754112,9.644621181691104,10.453859358585277,8.994731854101321,8.655176802990002,9.692572733592115,9.13830979837264,9.85795475257937,9.813614123709668,9.602289905089648,9.475196549172136,9.651056063715544,9.830125296801285,9.407004357022547,9.743761898327392,9.929470200824392,9.9989387463464,10.05664915961624,9.951131066675398,9.578256384347869,9.747667423221564,9.44318528089761,10.54660078512338,11.203198348492982,11.02592378760817,10.398687427080873,10.202124678446632,10.410197317357229,10.5725518045869,11.299174979047097,11.908015349515455,11.912853164603176,10.896687148848208,11.265634795891865,10.979735838841002,12.128909318469557,11.838603967585929,10.795106186038389,12.033494345047243,11.421895289036614,11.786098224673507,11.929636010058829,11.60499509156272,12.002092913055142,12.29608111217601,11.482674838983757,11.393898560814373,12.104173321052237,11.755216351431594,11.402407406121323,11.738436523381754,10.73303456435564,12.44621083323698,11.586900950246964,11.21724214057698,12.565645861415284,12.263878102153086,11.901060561042843,12.142908174417824,12.563266402970736,12.435519698850603,12.934952331394376
DEU,Germany,8.882805476218639,9.076738439144105,8.349229934035144,9.310101629161172,8.088100154757107,8.085020741980316,7.316742794050418,9.009865134704343,8.640489341343912,9.479061782088287,8.809743114516959,9.39870880243128,7.729854216384519,7.618053662853944,8.562478221944058,7.855881283198496,8.873387890497595,9.214518974777707,8.607357020023015,8.148650114931668,8.125243551524399,8.802219917345985,8.285243013697611,8.608180605640635,9.080440134957051,9.237587502390337,8.706104793945896,9.078599702696469,8.271663960223886,8.298755117512895,8.043180139868703,8.606932216875828,9.441378572453296,9.535821932637608,8.493021255141374,7.968089298414888,8.441936867650826,8.016553956957823,9.536663174303886,10.034924478399114,9.977324890165423,8.862094908292134,9.848627415826767,9.024844641391578,10.175419801861898,9.454082764538615,7.944101508223906,9.515905278611871,9.541026306870275,9.896253764500347,10.28868194166284,9.48363500544755,10.066006956096782,9.868080763700767,9.389939366392886,9.472777844123923,10.069937585306665,10.308031681321358,9.954363795418775,9.695083897768193,8.376984326185452,10.2528814397298,9.603913042344304,9.196977576865187,10.701462907667525,10.1806705868577,9.997666037972436,9.907603967654296,10.766326405264822,10.784064061919375,10.971997567778114
CAN,Canada,-7.668878012904655,-7.132243840056689,-5.7687130188816464,-5.738183002437391,-6.4219778191597845,-6.747688993933183,-7.419063782628986,-6.784156672876134,-5.995076206946356,-6.97661539816487,-6.105506499424476,-6.98938160742416,-6.510902119650389,-6.339238174302008,-7.2707778655908335,-7.147205344305891,-6.976254341299974,-7.051044576875157,-6.4705560239475854,-6.240171597321793,-6.874260500539994,-6.622398585735729,-8.577495091523907,-5.955093468009472,-7.473527227982208,-6.75292802671227,-6.579363394165673,-5.673133290494598,-7.032540794923073,-6.916622656305694,-6.127274411162256,-4.595037909698863,-7.650232251856316,-6.5624410696518565,-6.451608256180478,-6.555342200440898,-6.677496266229333,-5.308392857090921,-5.734524646212283,-6.77770657141021,-6.702347661324053,-6.155184908323331,-6.674170654238505,-6.059493685089707,-5.97462112407852,-5.823876098545402,-6.438094870779543,-5.874700501559679,-4.224697199215496,-4.947038739932605,-5.647542836866544,-4.8399757825645535,-5.88326869369495,-5.3155705995148566,-6.505642390064693,-4.890497954726624,-4.092228174143096,-5.635820997413555,-5.902092729413549,-5.628918842645815,-3.5012726548213435,-5.124859866134196,-4.720645774129119,-5.775825170645948,-5.829162180501277,-5.260513097831855,-4.269040715624887,-4.88809491860034,-5.961587735712717,-5.193272428678758,-5.318197502647744
SWE,Sweden,3.1114963323647427,2.8158659982599747,1.972752032234616,3.7715640890461977,2.624719363766606,1.8055599647959508,1.2566995187926573,2.920615498553875,1.9654654981329105,3.627130861288767,2.577507956164427,3.703130455541229,1.896663454095568,2.1123881968140887,2.802507906728513,1.821513753808225,1.48774673419077,2.94442320568744,1.9852836743281352,1.8210129922646547,1.7530619939279093,2.373095917549508,2.944961630649159,2.6089101941367363,3.395798962887929,3.5676684434288126,1.7639890702290095,2.1563181720493034,1.4101396349078537,1.5834940690763948,1.514219572380096,0.9462842608473416,2.251416148389264,2.507340610849826,2.488180366767676,-0.0564958310754341,1.4223015088769173,0.5522549028962419,2.2982633217322728,3.613588289257428,3.711950703610764,2.7255921516398773,3.0674268633111894,2.115800771969415,2.054937977217333,2.25018133214492,1.670639754755066,2.898824461662332,2.1430824662496697,2.7653918256558225,3.652109290473707,2.409018206604098,3.029606239337636,2.9118329465059234,2.916566585756981,3.302423295493996,3.4878171852963344,3.3150803247313774,3.4376107225714736,2.80922029273415,1.0416880904377073,3.67718259415281,2.328562575849274,3.056204256539564,4.15007167555431,3.886442696445482,3.356330711938928,3.017421012965068,3.399750431963758,3.18991044981443,4.486535967153676
BRA,Brazil,23.742429219457748,23.8217671546323,23.89282412432218,24.06984374441951,23.85296292260895,23.67313276876145,23.402827126392527,23.77674102317085,24.21308814812405,24.03425714074891,23.70960024781961,24.380649746574168,24.06573291190677,24.3573295928838,23.89874743078781,24.165860424759348,24.29829102808858,24.21247165626077,23.923414359676563,24.53129136149277,24.40566123977712,23.847049995548605,24.320705002144727,24.55823589527854,23.90722816592094,24.0626238180384,24.06467633444112,24.521808432606207,24.331969478415445,24.34826963174569,24.482733206516112,24.50450867317985,24.71479373074285,24.863555250130013,24.72806103729314,24.55558067952448,24.57596792442408,24.974608804100605,24.6827052691015,24.49061758437233,24.844971451602905,24.84457490106332,24.801939479889587,24.909900099779424,24.99597150507813,25.22706203035785,25.044363363281608,25.187558303143096,25.55288141807104,24.948911085203243,24.99736080891816,25.39799006627276,25.688382934677563,25.466736978367,25.307292566242864,25.658012507734384,25.49107039446185,25.579481076232227,25.268632262648943,25.48398493106305,25.697624644522904,25.34684337745097,25.682794438231163,25.47966335658059,25.797222698211627,26.21612835242988,26.089782241709145,25.96580613470225,25.700166683451013,26.20632679305873,26.151599057346303
MEX,Mexico,20.939313035722456,20.69303467370259,20.53643274188199,20.76171930245975,20.800094672678743,20.27848381603834,20.41257019520792,20.88454972622284,20.503853607785967,20.539261920482453,20.502011468028627,20.39788443425845,20.68511547593808,20.64205410323159,20.278402372582683,20.447056868282413,20.107988291606627,20.353821546260328,20.12806854269628,20.701750024386524,20.275961088802497,20.57327860826093,20.890940354712704,20.285826379730256,20.37695890467805,20.204980413207537,19.962788281434005,20.692711503312047,20.70328983293944,20.52000991440358,20.974020439577338,20.7573216323604,21.02296574748216,20.617704380675168,20.440875052363456,20.351115799457087,20.69868252644413,20.45909567190262,20.693702779265525,20.88330502781309,21.048390451344225,20.892407170399068,20.78288022366376,20.82840960547693,21.31786761660817,21.32135795587116,21.181461297776696,20.905926121665185,21.61597260018454,21.114474543485755,21.19487180254747,21.14088477187772,21.38432438850781,21.46946213928848,21.157058262388983,21.430266171866865,21.33041951265354,20.97580816082529,21.001395238605447,21.43868782357025,20.805520674817338,21.57192955746968,21.667264911163368,21.27960157673705,21.786112886628327,21.78046197766144,21.97125890795019,22.089663589982024,21.70676192851372,21.987908792205648,21.99899698088284
BEL,Belgium,9.705403367239052,9.704517184310244,9.40489882272694,9.921600472148365,9.167854631126849,9.29498448204158,8.537445666442588,9.968666061324711,9.534023978841986,10.46574783708584,9.790919970028389,10.217938385776565,8.692342687252204,8.455814288728824,9.514149321743018,8.914614017045702,9.775242852445844,9.81960324234701,9.4377792435076,9.328671356661262,9.383922043996863,9.672511536871394,9.192240246336691,9.52808947539212,9.729612593914416,9.91648941423428,9.769039878653544,9.75060446274343,9.141547896035378,9.029422526143929,9.053895200796486,9.354839658497587,9.924109070744372,9.955459947442316,9.485010900449536,8.67942138365168,8.874112881607768,8.962837280580171,10.096309381992995,10.723365223946908,10.65539362155016,9.515372233175178,10.111234540316351,9.737059979462767,10.662526691379282,10.611997234402017,8.964695026646929,10.389554423423291,10.236717201117916,10.651619271896616,10.635354943970365,10.28807178286454,10.73609867575183,10.67853612085086,10.284660324020027,10.482293264111108,10.844799336955798,10.882528502497864,10.259939759220932,10.352844031252475,9.128995080689112,11.044909560620509,10.138186200779312,9.67271540656164,11.162658453706545,10.566979804110913,10.411006854646793,10.687341507954836,11.119668111369863,10.917457618905091,11.367057823296197
IRL,Ireland,8.867836412973395,8.610960297769434,8.706881379956622,9.363145275357176,8.762063306819856,8.972322748267747,8.826263823834637,9.574407858205271,9.17189152394984,9.967105990097034,9.23408811499253,9.354089336333496,8.535113314264756,8.283969595549658,9.276783791828212,8.589026144886628,9.1765110573583,9.051600390400502,9.145003107441491,8.898843165328001,9.171854793785007,9.633327663763296,8.820562927201465,9.404648285438352,9.06660254669112,9.62756469547969,9.438116666841886,9.182208882779452,9.229648162972577,8.51317421172355,9.151023862992052,9.187932725799358,9.463815318779456,9.71236811456594,9.411740281651912,8.704487980928226,8.345617045592805,9.041314735536204,9.507977695487035,9.950197599803506,9.955449302179828,9.352547619796043,9.3557853055307,9.1603075054375,9.433320604121649,10.050658057722432,9.104753799271066,10.182990141071413,10.001219118724064,10.004273836126115,9.6916633904946,9.67819981574516,10.106951348736011,10.184178059087923,10.109688618265633,10.24126810477888,10.349057141101824,10.45755797466002,9.79484049011418,9.819992128257203,8.764394401385276,10.164488608182614,9.632542189331907,9.775575061008391,10.226508762400702,9.557539304369929,9.866708216157424,10.105940381007375,9.867810210400304,9.946864218546931,9.951988932844488
