iso_a3,country,ndc_overview,ndc_full,embed_url,embed_code
BRA,Brazil,https://climatewatchdata.org/ndcs/country/BRA,https://climatewatchdata.org/ndcs/country/BRA/full,https://climatewatchdata.org/embed/countries/BRA/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/BRA/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
BRN,Brunei,https://climatewatchdata.org/ndcs/country/BRN,https://climatewatchdata.org/ndcs/country/BRN/full,https://climatewatchdata.org/embed/countries/BRN/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/BRN/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
BGR,Bulgaria,https://climatewatchdata.org/ndcs/country/BGR,https://climatewatchdata.org/ndcs/country/BGR/full,https://climatewatchdata.org/embed/countries/BGR/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/BGR/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
BFA,Burkina Faso,https://climatewatchdata.org/ndcs/country/BFA,https://climatewatchdata.org/ndcs/country/BFA/full,https://climatewatchdata.org/embed/countries/BFA/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/BFA/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
BDI,Burundi,https://climatewatchdata.org/ndcs/country/BDI,https://climatewatchdata.org/ndcs/country/BDI/full,https://climatewatchdata.org/embed/countries/BDI/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/BDI/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
KHM,Cambodia,https://climatewatchdata.org/ndcs/country/KHM,https://climatewatchdata.org/ndcs/country/KHM/full,https://climatewatchdata.org/embed/countries/KHM/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/KHM/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CMR,Cameroon,https://climatewatchdata.org/ndcs/country/CMR,https://climatewatchdata.org/ndcs/country/CMR/full,https://climatewatchdata.org/embed/countries/CMR/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CMR/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CAN,Canada,https://climatewatchdata.org/ndcs/country/CAN,https://climatewatchdata.org/ndcs/country/CAN/full,https://climatewatchdata.org/embed/countries/CAN/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CAN/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CPV,Cape Verde,https://climatewatchdata.org/ndcs/country/CPV,https://climatewatchdata.org/ndcs/country/CPV/full,https://climatewatchdata.org/embed/countries/CPV/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CPV/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CAF,Central African Republic,https://climatewatchdata.org/ndcs/country/CAF,https://climatewatchdata.org/ndcs/country/CAF/full,https://climatewatchdata.org/embed/countries/CAF/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CAF/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
