iso_a3,country,data_source,sector,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
TUR,Turkey,CAIT,Total including LUCF,All GHG,MtCO₂e,189.27,191.74,199.22,205.73,200.92,215.5,233.26,242.39,243.59,243.49,267.48,219.28,229.56,241.45,247.73,260.27,289.65,319.59,318.18,321.6,331.37,337.24,351.35,342.57,367.45,374.18,432.17,474.03,473.87
GBR,United Kingdom,CAIT,Total including LUCF,All GHG,MtCO₂e,746.4,761.64,739.51,722.61,711.75,702.55,722.68,701.07,697.42,671.25,673.87,684.64,666.82,674.47,669.83,663.91,661.01,645.52,625.56,570.73,583.6,540.98,562.45,543.71,502.84,486.78,464.28,450.24,441.13
PAK,Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,166.5,167.45,176.65,186.47,193.14,203.61,210.65,217.56,221.37,233.94,236.06,238.3,244.71,252.54,269.49,277.77,297.16,313.94,316.9,327.27,321.54,328.63,332.43,342.88,356.49,371.24,396.4,421.6,438.22
THA,Thailand,CAIT,Total including LUCF,All GHG,MtCO₂e,174.02,186.02,197.92,214.03,228.84,247.92,268.47,275.67,257.4,267.19,268.47,233.7,245.95,259.15,281.87,287.81,291.25,306.56,310.02,309.61,329.44,363.65,386.03,397.19,393.87,395.67,410.92,428.94,431.22
ARG,Argentina,CAIT,Total including LUCF,All GHG,MtCO₂e,288.37,293.36,297.76,300.27,305.35,305.93,319.81,322.34,326.15,332.24,331.14,372.45,369.3,391.04,406.44,410.92,425.42,438.82,442.98,424.07,429.81,410.64,414.84,424.7,421.76,428.37,396.27,397.7,395.5
MYS,Malaysia,CAIT,Total including LUCF,All GHG,MtCO₂e,207.11,214.67,221.4,224.79,231.7,239.11,247.37,257.86,288.83,267.24,278.87,270.24,288.9,298.2,322.76,336.4,332.3,357.03,368.36,366.72,379.15,155.6,155.92,174.34,205.53,191.89,378.56,365.0,388.11
ITA,Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,456.75,454.34,451.12,444.81,439.52,464.51,460.76,464.54,475.84,483.07,488.0,485.95,494.23,512.77,523.88,525.16,512.76,506.06,491.14,442.26,450.75,439.93,422.08,390.27,370.58,381.49,398.64,393.01,386.78
VNM,Vietnam,CAIT,Total including LUCF,All GHG,MtCO₂e,1.17,4.03,6.54,13.23,18.85,25.03,32.87,40.65,51.84,55.08,63.11,157.92,174.91,180.26,198.37,207.64,213.22,227.29,237.99,259.62,277.74,235.82,236.38,248.78,261.78,305.32,330.21,328.33,364.43
FRA,France,CAIT,Total including LUCF,All GHG,MtCO₂e,477.92,502.72,487.97,469.18,463.44,472.18,490.93,480.98,497.02,486.59,483.67,447.09,439.49,444.36,441.98,442.64,432.32,425.14,418.88,400.59,404.32,392.42,395.28,396.16,363.05,369.04,368.04,370.47,361.37
NGA,Nigeria,CAIT,Total including LUCF,All GHG,MtCO₂e,249.87,260.06,272.23,272.12,270.78,265.37,276.14,266.82,258.68,249.74,247.07,248.44,252.94,260.59,264.22,281.19,276.1,274.16,277.1,258.87,281.15,299.26,303.64,318.11,327.77,323.23,330.64,337.4,357.52
POL,Poland,CAIT,Total including LUCF,All GHG,MtCO₂e,429.16,424.94,414.15,413.64,408.95,408.44,423.05,412.81,382.95,372.24,358.79,300.69,292.88,304.75,309.02,310.64,324.47,324.46,318.18,302.33,320.3,360.67,353.7,348.35,335.26,339.15,344.31,357.17,356.74
EGY,Egypt,CAIT,Total including LUCF,All GHG,MtCO₂e,129.43,135.07,140.18,142.45,138.13,147.11,154.53,163.95,170.77,179.61,180.91,193.53,198.41,202.7,215.91,233.9,244.52,259.61,268.73,274.79,276.27,284.1,294.89,292.15,298.19,307.26,315.96,320.55,329.4
ESP,Spain,CAIT,Total including LUCF,All GHG,MtCO₂e,232.63,238.82,248.65,233.85,246.79,260.7,254.16,275.71,285.23,309.99,327.4,348.65,365.39,374.51,390.66,405.41,399.28,415.54,382.32,345.5,330.31,340.98,334.71,308.62,307.09,317.67,301.97,318.35,313.06
VEN,Venezuela,CAIT,Total including LUCF,All GHG,MtCO₂e,325.64,327.42,331.42,337.76,340.51,349.03,363.45,370.45,370.61,365.07,374.82,318.43,325.0,318.62,321.04,335.9,328.29,332.82,344.66,345.38,348.48,368.02,387.66,392.76,394.2,379.78,301.07,286.63,277.26
