GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
ABW,Aruba,25.177419662475586,51.04838943481445,89.68548583984375,135.64517211914062,177.44354248046875,225.21774291992188,269.23388671875,296.258056640625,315.75
AFG,Afghanistan,3.8789608889320606,8.297370219527087,14.18400831205595,20.712599217362346,29.726548623445826,41.67598939831261,55.47633700599467,68.28206871669627,80.04498085035524
AGO,Angola,7.355501844618056,14.146595052083333,23.204659288194446,37.49887152777778,56.91536024305555,80.44870659722223,106.21462673611111,134.19828125,165.58916666666667
AIA,Anguilla,38.70430246988932,64.43548075358073,94.41398111979167,120.80106608072917,145.15591430664062,167.85484822591147,194.4784952799479,229.42474365234375,265.7742106119792
ALA,Åland,6.215053982204861,12.244921648943865,17.352448640046298,23.189964011863427,30.818400065104168,40.91875542534722,48.20310691550926,57.187576859085645,65.8960593894676
ALB,Albania,6.861111111111111,12.57033962673611,18.67383490668403,26.465501573350693,34.84498426649306,45.1644287109375,53.261199951171875,63.602152506510414,75.72222222222223
AND,Andorra,4.664516448974609,9.645161437988282,16.75483856201172,23.109677124023438,29.696771240234376,36.980645751953126,47.3741943359375,60.10968017578125,71.66451416015624
ARE,United Arab Emirates,11.555356626157407,24.339307243441358,40.323178891782405,56.286735628858025,73.63042534722223,91.40462239583333,109.03862847222223,126.10474537037037,139.1415653935185
ARG,Argentina,2.481239977706508,4.443208633187317,7.087669808614935,10.924172794117647,14.820136498748436,21.170072616812682,28.688712453066334,38.89295538694201,48.926803035043804
ARM,Armenia,6.002513538707387,9.731462751116071,16.138665533685064,21.671973290381494,28.988687094155843,40.75031072443182,52.3347263088474,62.23920708198052,69.94135551948052
ASM,American Samoa,25.028672960069443,47.13978407118056,76.70250786675348,107.07526991102431,143.21146647135416,175.54123263888889,208.96055772569446,239.69536675347223,267.33336046006946
ATA,Antarctica,1.6071954407507938,2.6639403526607306,4.196653303752967,6.221684979116795,8.858957617612003,12.738347722879379,16.812874971204213,21.211378591961218,25.362195891467433
ATF,French Southern Territories,5.195937545211227,7.670250786675347,11.09677463107639,15.599760832609954,21.75029839409722,28.658302589699073,38.25208875868056,49.642171223958336,63.8297435619213
ATG,Antigua and Barbuda,38.290323893229164,62.97490776909722,94.55197482638889,118.43370225694444,145.8709716796875,175.49462890625,207.45876736111111,243.02864583333334,275.10394965277777
AUS,Australia,2.6425131081775115,5.6249908288613115,9.741748595505618,14.72869151433842,20.98952786978031,29.668481678685225,39.3740802658058,50.230405207110515,61.45275029347644
AUT,Austria,4.462265511446221,8.406301666969476,12.379294603924418,18.790847565406978,26.059265988372093,34.64501044694767,45.25341115552325,56.9839480377907,69.06811864098837
AZE,Azerbaijan,5.575397400194378,9.45300234561902,14.891032679799642,20.91402979216507,29.228277325059807,40.89767120215311,51.946592778110045,61.49976637260765,69.62015924043062
BDI,Burundi,4.975953258167614,10.52844571200284,17.303813032670455,26.193550248579545,41.52551491477273,59.31026278409091,90.66920276988637,123.57771661931818,159.3900390625
BEL,Belgium,3.3706174104110054,6.423211802606997,8.735624230426291,12.910939092221467,17.239480723505434,24.113254712975543,31.65848441745924,40.1490186608356,48.40357506793478
BEN,Benin,4.363845128093274,7.5929258704790605,11.643360118575508,17.5411816901967,27.768626566465738,39.93433732550761,56.03765962087564,70.77944063293147,88.66677902918782
BES,"Bonaire, Sint Eustatius and Saba",34.342742919921875,65.33467864990234,97.6491928100586,131.46774291992188,168.7943572998047,203.80242919921875,231.491943359375,263.94354248046875,291.80645751953125
BFA,Burkina Faso,5.503854136455916,10.056506942430394,16.390239812935036,23.6712813587587,35.75982453596288,48.95382286832947,65.72210339327147,82.42145809164734,103.07410092807424
BGD,Bangladesh,3.36247884420524,5.764128032483552,9.979990564790883,15.628669451950188,22.18166448836936,31.123454387922934,44.881031925516915,62.804268973214285,80.30644971804512
BGR,Bulgaria,6.81651611328125,12.5184521484375,18.33161328125,26.724,34.682453125,44.41509375,53.39290625,64.820125,76.449546875
BHR,Bahrain,10.383064270019531,21.794357299804688,35.963706970214844,50.92742156982422,65.43549346923828,81.42741394042969,95.98789978027344,110.94757843017578,119.85079956054688
BHS,Bahamas,17.414819081624348,28.75268809000651,40.65070597330729,56.90440368652344,75.00722249348958,95.68581136067708,115.17120361328125,133.762939453125,149.9991658528646
BIH,Bosnia and Herzegovina,5.153160529408028,9.285863860835875,13.931549320376016,19.924731246824187,27.49803298081809,35.931029280995936,42.98163983104675,53.937845369664636,65.01757415523375
